Source,Target,Type,Id
GunsandCoffee70,KhalidMaghrebi,undirected,0
GunsandCoffee70,seifulmaslul123,undirected,1
GunsandCoffee70,CheerLeadUnited,undirected,2
GunsandCoffee70,KhalidMaghrebi,undirected,3
GunsandCoffee70,seifulmaslul123,undirected,4
GunsandCoffee70,CheerLeadUnited,undirected,5
GunsandCoffee70,IbnNabih1,undirected,6
GunsandCoffee70,IbnNabih1,undirected,7
GunsandCoffee70,MuwMedia,undirected,8
GunsandCoffee70,Dawlat_islam7,undirected,9
GunsandCoffee70,IbnNabih1,undirected,10
GunsandCoffee70,KhalidMaghrebi_,undirected,11
GunsandCoffee70,MuwMedia,undirected,12
GunsandCoffee70,Polder_Mujahid,undirected,13
GunsandCoffee70,ansardeenfront,undirected,14
GunsandCoffee70,GIIMedia_CH004:,undirected,15
YazeedDhardaa25,YazeedDhardaa25,undirected,16
YazeedDhardaa25,ibn_nuhas,undirected,17
YazeedDhardaa25,Jazrawi_Uod,undirected,18
YazeedDhardaa25,striv3ride,undirected,19
YazeedDhardaa25,AfroQaqaisback,undirected,20
YazeedDhardaa25,baqiya58,undirected,21
YazeedDhardaa25,umulbanat1,undirected,22
YazeedDhardaa25,AlJabarti22,undirected,23
YazeedDhardaa25,UmmAysha20___,undirected,24
YazeedDhardaa25,Abtigood,undirected,25
YazeedDhardaa25,AsadAlKanadi10,undirected,26
YazeedDhardaa25,AbuHaleema28,undirected,28
YazeedDhardaa25,skxxx50,undirected,29
YazeedDhardaa25,Abtigood,undirected,30
YazeedDhardaa25,_Muslimah1___,undirected,31
YazeedDhardaa25,JasonPhedo,undirected,32
YazeedDhardaa25,AlJabali23,undirected,33
YazeedDhardaa25,AbdullahKayaNIW,undirected,34
YazeedDhardaa25,CheckContentt,undirected,35
YazeedDhardaa25,Skxx51,undirected,36
YazeedDhardaa25,striv3ric,undirected,37
YazeedDhardaa25,War_Reports,undirected,38
YazeedDhardaa25,Skxx51,undirected,39
YazeedDhardaa25,striv3ric,undirected,40
YazeedDhardaa25,War_Reports,undirected,41
YazeedDhardaa25,Skxx51,undirected,42
YazeedDhardaa25,striv3ric,undirected,43
YazeedDhardaa25,War_Reports(3),undirected,44
YazeedDhardaa25,Skxx51,undirected,45
YazeedDhardaa25,striv3ric,undirected,46
YazeedDhardaa25,War_Reports(4),undirected,47
YazeedDhardaa25,Skxx51,undirected,48
YazeedDhardaa25,striv3ric,undirected,49
BaqiyaIs,abuyaqub6:,undirected,50
BaqiyaIs,Alwalawalbara12:,undirected,51
BaqiyaIs,macroarch:,undirected,52
BaqiyaIs,AHWAAL_UMMAT10:,undirected,53
abubakerdimshqi,abdelhakzait:,undirected,54
abubakerdimshqi,nasseralfahad0ÙƒÙ…Ø§,undirected,55
