Source,Target,Type,Id
103,97,directed,1362
100,97,directed,3530
103,97,directed,1475
42,97,directed,930
42,97,directed,1070
42,97,directed,1372
6,97,directed,1212
6,97,directed,1213
26,17,directed,3804
11,17,directed,3619
74,17,directed,2803
106,17,directed,2965
31,17,directed,3662
31,17,directed,3682
78,17,directed,2331
78,17,directed,2336
64,16,directed,115
81,53,directed,358
81,53,directed,450
81,53,directed,451
81,53,directed,548
108,53,directed,3480
2,53,directed,1206
6,53,directed,1463
6,53,directed,1545
6,93,directed,1547
6,93,directed,1545
6,93,directed,1547
89,93,directed,1389
90,93,directed,2578
56,93,directed,2179
90,93,directed,2575
90,93,directed,2621
56,93,directed,2349
56,93,directed,2354
56,93,directed,2356
19,5,directed,138
19,5,directed,153
19,5,directed,240
19,5,directed,248
19,5,directed,252
19,5,directed,256
19,5,directed,262
19,5,directed,267
19,5,directed,273
90,5,directed,2564
70,5,directed,2758
106,5,directed,2908
16,16,directed,1381
16,16,directed,1702
74,16,directed,2769
46,16,directed,1602
46,16,directed,1604
46,16,directed,1606
46,16,directed,1608
46,16,directed,1610
46,16,directed,1612
46,16,directed,1614
46,16,directed,1616
46,16,directed,1618
46,16,directed,1620
46,16,directed,1630
46,16,directed,1632
46,16,directed,1634
16,16,directed,1308
36,16,directed,569
56,55,directed,2358
90,55,directed,2552
84,55,directed,343
2,55,directed,1220
70,55,directed,2836
70,55,directed,2838
2,55,directed,1207
42,55,directed,524
50,55,directed,94
2,55,directed,1205
50,55,directed,31
90,17,directed,2587
103,17,directed,3016
103,17,directed,3033
103,17,directed,3034
74,17,directed,2765
103,17,directed,2609
103,17,directed,3015
87,17,directed,2300
103,17,directed,2148
103,17,directed,3428
103,17,directed,3429
87,17,directed,2294
78,17,directed,2400
78,17,directed,2403
2,17,directed,1218
2,17,directed,1235
2,17,directed,1236
2,17,directed,1237
103,69,directed,3440
103,69,directed,3508
103,69,directed,3557
103,69,directed,3559
103,69,directed,3562
103,69,directed,3565
26,69,directed,3809
26,69,directed,3812
26,69,directed,3814
26,69,directed,3815
26,69,directed,3816
31,69,directed,3652
103,69,directed,3438
42,24,directed,1653
42,24,directed,1654
38,24,directed,408
38,24,directed,409
38,24,directed,412
38,24,directed,414
91,24,directed,2031
91,24,directed,2034
43,24,directed,2611
31,24,directed,3676
11,24,directed,3630
11,24,directed,3632
11,24,directed,3634
31,24,directed,3655
100,24,directed,3524
19,24,directed,247
19,24,directed,251
19,24,directed,255
19,24,directed,261
19,24,directed,268
19,24,directed,274
65,22,directed,76
102,22,directed,1444
87,22,directed,2390
78,22,directed,2085
107,22,directed,664
107,22,directed,665
107,22,directed,666
107,22,directed,667
107,22,directed,668
107,22,directed,669
107,22,directed,670
107,22,directed,671
58,22,directed,546
89,75,directed,1413
108,75,directed,924
108,75,directed,1482
108,75,directed,1483
108,75,directed,1485
108,75,directed,1696
42,75,directed,1092
58,75,directed,789
56,75,directed,2433
2,75,directed,1231
104,75,directed,3738
104,75,directed,3741
103,75,directed,1831
58,75,directed,635
58,75,directed,640
45,44,directed,2944
71,44,directed,3132
71,44,directed,3135
2,44,directed,1238
2,44,directed,1241
107,44,directed,735
16,44,directed,692
103,44,directed,1479
74,44,directed,2731
50,44,directed,67
44,44,directed,3857
44,44,directed,3858
44,44,directed,3859
10,44,directed,3367
93,44,directed,1971
58,44,directed,631
91,44,directed,2000
16,57,directed,703
11,57,directed,3062
11,57,directed,3456
70,57,directed,2645
103,57,directed,1460
103,57,directed,1834
103,57,directed,2459
103,57,directed,2528
103,57,directed,2530
103,57,directed,2532
108,57,directed,3769
108,57,directed,3840
16,57,directed,1295
16,57,directed,1369
16,57,directed,1639
75,57,directed,1121
42,57,directed,939
42,57,directed,1742
70,57,directed,2642
70,57,directed,2643
61,57,directed,1942
31,57,directed,3689
103,57,directed,1529
103,57,directed,1839
103,57,directed,2069
103,57,directed,2079
103,57,directed,2469
103,57,directed,2549
103,57,directed,3031
103,57,directed,3207
103,57,directed,3684
103,57,directed,3685
103,57,directed,3746
103,57,directed,3788
61,97,directed,1945
100,97,directed,3529
27,97,directed,2171
103,97,directed,1943
75,97,directed,466
91,97,directed,2028
43,97,directed,2540
1,97,directed,3347
108,97,directed,1338
79,5,directed,3172
79,5,directed,3176
108,5,directed,919
71,5,directed,3134
71,5,directed,3137
104,5,directed,3742
